,author,content,clean tweets,probs
100,Cristiano,"Can’t wait to show you how much fun I had… #CheckItOut at http://t.co/H3tWJAPeiL
https://t.co/dJR65ZWFmi",can’t wait show much fun had… checkitout httptcoh3twjapeil httpstcodjr65zwfmi,"[[3.5541770e-01 3.4592670e-01 1.0010755e-01 1.1331160e-02 1.7994888e-01
  6.9762124e-03 2.9173694e-04]]"
101,BarackObama,Watch the weekly address: We're making real economic progress—but we have to keep it up. http://t.co/K9InOp6yR6,watch weekly address making real economic progress—but keep httptcok9inop6yr6,"[[0.14668551 0.16541566 0.14834616 0.23848657 0.23617546 0.0542181
  0.01067256]]"
102,katyperry,@rejectedjokes why didn't we plan an after party,rejectedjokes didnt plan pay,"[[0.26439252 0.2773032  0.13110395 0.06276029 0.23961194 0.0228376
  0.0019906 ]]"
103,instagram,Behind-the-scenes at Chanel for Paris Fashion Week #PFW  https://t.co/skM7GcPe83,behindthescenes chanel paris fashion week pfw httpstcoskm7gcpe83,"[[9.6597819e-04 1.2373762e-03 2.2639132e-03 1.4386178e-02 2.9375942e-03
  1.1077820e-03 9.7710115e-01]]"
104,britneyspears,@britbrit1fan Thanks sweetie 💕,britbrit1fan thanks sweetie 💕,"[[5.3911423e-04 7.1010948e-04 1.6302523e-03 1.3750933e-02 2.0057093e-03
  8.8879484e-04 9.8047513e-01]]"
105,ArianaGrande,@Yours0Truly love u right back,yours0truly love u right back,"[[0.2829945  0.2911993  0.12241691 0.05467571 0.22135933 0.02451056
  0.00284376]]"
106,TheEllenShow,What do you call a song about a burrito? A wrap. #ClassicJokeFriday,call song burrito wrap classicjokefriday,"[[3.55280876e-01 3.46576422e-01 1.04855575e-01 8.13802052e-03
  1.80379182e-01 4.64789663e-03 1.22037913e-04]]"
107,cnnbrk,"Airstrikes killed at least 45 people in two neighborhoods in the Syrian city of Aleppo, activist group says. https://t.co/qQmOsHWSZ1",airstrikes killed least 45 people two neighborhoods syrian city aleppo activist group says httpstcoqqmoshwsz1,"[[0.02537684 0.02848852 0.01844862 0.02967391 0.0301889  0.00571049
  0.86211264]]"
108,ddlovato,Wow thank you guys so much.. 🙏🏼💗 @TheSource,wow thank guys much 🙏🏼💗 thesource,"[[3.9049616e-01 3.6514825e-01 1.4448234e-01 6.5150220e-05 9.9744663e-02
  6.3429368e-05 4.0388372e-08]]"
109,YouTube,@Jus_Hill @jakebley We're proud of your flatmate too 😀 #ProudToBe,jushill jakebley proud flatmate 😀 proudtobe,"[[3.7702215e-01 3.5959390e-01 1.2336627e-01 8.7180809e-04 1.3850088e-01
  6.4202346e-04 3.0092654e-06]]"
110,taylorswift13,Tonight was #1989SecretSessions  in NYC and john_grande6 came up with this next level pose. http://t.co/j1dxJcf0dE,tonight 1989secretsessions nyc johngrande6 came next level pose httptcoj1dxjcf0de,"[[0.00177785 0.00243169 0.01065457 0.23252673 0.01150955 0.0116916
  0.729408  ]]"
111,ArianaGrande,"V excited for my @iHeartRadio #Focus event tonight! For my babes that can’t be there, you can stream it online here: https://t.co/s0F9KEplf2",v excited ihearadio focus event tonight babes can’t stream online httpstcos0f9keplf2,"[[0.00890757 0.01044291 0.00951561 0.02450919 0.01447219 0.0034639
  0.9286887 ]]"
112,BarackObama,Facts matter. Stay informed with the @OFA Truth Team: https://t.co/O8PhOX5jJ3,facts matter stay informed ofa truth team httpstcoo8phox5jj3,"[[0.21053246 0.22481573 0.1394742  0.1372279  0.2325245  0.04542642
  0.00999874]]"
113,jimmyfallon,RT“@TheWriteNotes: Check out @ChrisCornell &amp; @TheAvettBros cover of @PearlJam’s “Footsteps” http://t.co/y24WBn2JtK”,“thewritenotes check chriscornell amp theavettbros cover pearljam’s “footsteps” httptcoy24wbn2jtk”,"[[0.016264   0.02106983 0.06375106 0.7483099  0.08674569 0.04885386
  0.01500569]]"
114,jtimberlake,"""@TraceAyala: T.G.I.F.F. Baby! #901"" Amen, brother.",traceayala tgiff baby 901 amen brother,"[[0.08557593 0.09689577 0.11360839 0.40561876 0.16610165 0.08131718
  0.05088227]]"
115,Twitter,Who does @iamsrk think you should follow on Twitter in 2015? Check out the King of Bollywood's #FivetoFollow here: https://t.co/3rTDOtyen1,iamsrk think follow twitter 2015 check king bollywoods fivetofollow httpstco3dotyen1,"[[0.00104156 0.0013397  0.00260795 0.01827412 0.0033415  0.00136995
  0.9720252 ]]"
116,britneyspears,Thank you to my 1M Vine followers!! Feeling famous 😉 https://t.co/Ps8Myh3Jpx,thank 1m vine followers feeling famous 😉 httpstcops8myh3jpx,"[[0.06105547 0.07027843 0.08965924 0.40621105 0.12927905 0.06657171
  0.17694505]]"
117,BarackObama,LIVE: President Obama is pardoning the National Thanksgiving Turkey. Tune in now: http://t.co/EHBKZyrHOX,live president obama pardoning national thanksgiving turkey tune httptcoehbkzyrhox,"[[0.08683343 0.10171256 0.13158922 0.4019409  0.19914666 0.06361582
  0.01516142]]"
118,KimKardashian,Anyone know a good spray tanner in Paris?!?!?!,anyone know good spray tanner paris,"[[0.04205978 0.04940245 0.08148351 0.54161406 0.11202467 0.07710095
  0.09631466]]"
119,ArianaGrande,@AlexaLuria missing u more,alexaluria missing u,"[[0.1055546  0.12992561 0.17398362 0.2502311  0.32097173 0.01882718
  0.00050623]]"
120,cnnbrk,"Rudy Giuliani pulls himself from consideration for a position in Donald Trump's administration, Trump says. https://t.co/jbWpuPwjG7",rudy giuliani pulls consideration position donald trumps administration trump says httpstcojbwpupwjg7,"[[0.24042018 0.25939104 0.14142503 0.07463969 0.2616216  0.02109572
  0.00140668]]"
121,YouTube,Johnny Depp still looks great as a tomato tbh. https://t.co/8Os7nYmwZa https://t.co/0R33X6MftV,johnny depp still looks great tomato tbh httpstco8os7nymwza httpstco0r33x6mftv,"[[0.09685004 0.11039881 0.12812719 0.37731215 0.19247448 0.07142431
  0.02341296]]"
122,TheEllenShow,Vince Vaughn asked these kids what they're thankful for this Thanksgiving. I'll tell you what I'm thankful for...hi… https://t.co/xJ6coc0QLb,vince vaughn asked kids theyre thankful thanksgiving ill tell im thankful forhi… httpstcoxj6coc0qlb,"[[0.25596842 0.26198432 0.12426488 0.0916805  0.21187097 0.04111067
  0.01312024]]"
123,BarackObama,Enforceable labor and environmental protections are just a couple of reasons why America needs to #LeadOnTrade. http://t.co/4THWZFdRHh,enforceable labor environmental protections couple reasons america needs leadontrade httptco4thwzfdrhh,"[[0.00096268 0.00138512 0.01247328 0.8003269  0.01186983 0.02797625
  0.14500602]]"
124,katyperry,"I would say Katy Vision, but according to the technology I saw during my visit to Silicon Valley last week... https://t.co/cG7tYvhegY",would say katy vision according technology saw visit silicon valley last week httpstcocg7tyvhegy,"[[0.00375815 0.00456128 0.0054647  0.02013417 0.00781462 0.00223814
  0.95602894]]"
125,Cristiano,Morning training for Saturday’s match against Málaga. http://t.co/rDE5jBkCcC,morning training saturday’s match málaga httptcorde5jbkccc,"[[2.2700569e-04 3.0872683e-04 8.9427002e-04 9.8125394e-03 1.0356687e-03
  5.1779015e-04 9.8720402e-01]]"
126,instagram,"Instagram or it didn't happen. Post a video of your festivities and use #IGNewYear2016! (We're checking, seriously)",instagram didnt happen post video festivities use ignewyear2016 checking seriously,"[[3.1253833e-01 3.1823221e-01 1.1369097e-01 2.2239357e-02 2.2460623e-01
  8.4266039e-03 2.6629327e-04]]"
127,BarackObama,Great news: Economic growth in the second quarter was even better than reported. http://t.co/88SxXOTLAY,great news economic growth second quaer even better repoed httptco88sxxotlay,"[[0.00076085 0.0011081  0.00961069 0.5222141  0.00894548 0.01715179
  0.44020897]]"
128,cnnbrk,OLYMPICS: Andy Murray wins men's tennis gold beating Argentina's Juan Martin del Potro. https://t.co/xEsyXvgiAX https://t.co/3PhMm5cmFC,olympics andy murray wins mens tennis gold beating argentinas juan main del potro httpstcoxesyxvgiax httpstco3phmm5cmfc,"[[0.00205366 0.00261632 0.00499946 0.03583473 0.00650598 0.00286076
  0.94512916]]"
129,KimKardashian,RUNWAY TO REAL WAY: CALVIN KLEIN IN CANNES https://t.co/zNJ40rqXf6,runway real way calvin klein cannes httpstcoznj40rqxf6,"[[0.02171294 0.02718061 0.06723467 0.69680566 0.0896347  0.06565211
  0.03177924]]"
130,britneyspears,Taking my little baby @HannahSpears to her 1st live interview on the @Pepsi #PreShowLive! http://t.co/FDXK4XKO,taking little baby hannahspears 1st live interview pepsi preshowlive httptcofdxk4xko,"[[0.01186077 0.01488778 0.03294856 0.31853843 0.04239389 0.02835488
  0.55101573]]"
131,Cristiano,"Vacations, friends, fun. http://t.co/RStsU6a807",vacations friends fun httptcorstsu6a807,"[[0.02898478 0.03693454 0.09088545 0.6570182  0.1336627  0.0447844
  0.00772985]]"
132,KimKardashian,"Who’s watching #KUWTK tonight with me, east coast?! Can’t believe its the season finale XO",who’s watching kuwtk tonight east coast can’t believe season finale xo,"[[0.15068524 0.17177399 0.15720983 0.2125731  0.2649764  0.0386705
  0.00411094]]"
133,KimKardashian,SUMMER LOOKS: LIGHT https://t.co/J1BfxZgVMI https://t.co/AyfocYmg7Y,summer looks light httpstcoj1bfxzgvmi httpstcoayfocymg7y,"[[0.03215392 0.03572454 0.02141855 0.03057249 0.03554869 0.00635287
  0.83822894]]"
134,Cristiano,No substitute for hard work 👍 #StrikeSeries CR7 Chapter 3 Collection at https://t.co/E2zLOUFGP6 https://t.co/qQAVw0sjWQ,substitute hard work 👍 strikeseries cr7 chapter 3 collection httpstcoe2zloufgp6 httpstcoqqavw0sjwq,"[[0.00385967 0.0046795  0.00555959 0.02026109 0.00796525 0.00226894
  0.955406  ]]"
135,Cristiano,I’m happy and proud to wear the number 7 shirt for next season. I intend to honor the great Real Madrid players that... http://say.ly/Goy3bH,i’m happy proud wear number 7 shi next season intend honor great real madrid players httpsaylygoy3bh,"[[0.00343567 0.00439474 0.0097323  0.08708693 0.01229015 0.00671677
  0.8763434 ]]"
136,Cristiano,Spending great time with my bros!! 👌🔝✌️ https://t.co/Fbka4D6XOC,spending great time bros 👌🔝✌️ httpstcofbka4d6xoc,"[[0.01406068 0.01617918 0.01271714 0.02699578 0.01999633 0.00434277
  0.90570813]]"
137,ddlovato,Love you @NickJonas. Thank you for taking this ride with me. #HondaCivicTour #FutureNow,love nickjonas thank taking ride hondacivictour futurenow,"[[0.09673974 0.10915834 0.12034761 0.37401783 0.17849533 0.07829539
  0.04294568]]"
138,ArianaGrande,perfect  https://t.co/hDox5rW4v3,perfect httpstcohdox5rw4v3,"[[0.03868972 0.04563879 0.06414802 0.33868662 0.09082436 0.04591914
  0.37609333]]"
139,justinbieber,the media really loves to twist things. Glad we have social media so they can't twist me. I love people. Plain and simple. I love people,media really loves twist things glad social media cant twist love people plain simple love people,"[[0.03597082 0.03975667 0.02289618 0.03070064 0.03829098 0.00663034
  0.82575434]]"
140,shakira,"Gurus?! Who would have thought I'd need one to create a game with the Angry Birds people.... Shak
https://t.co/UhErGKRjkR",gurus would thought id need one create game angry birds people shak httpstcouhergkrjkr,"[[0.17757742 0.19905166 0.15557565 0.16175269 0.26852337 0.03417711
  0.00334199]]"
141,katyperry,@sofifii how dare you subtweet me in front of my adoring fans!,sofifii dare subtweet front adoring fans,"[[0.34011456 0.33573076 0.10136341 0.01927513 0.191765   0.01107799
  0.0006731 ]]"
142,YouTube,.@POTUS reminds you on the internet to make sure you vote in real life: https://t.co/NeZdGEkCLD  #voteIRL https://t.co/3vMuFN2BII,potus reminds internet make sure vote real life httpstconezdgekcld voteirl httpstco3vmufn2bii,"[[4.1131204e-04 5.6258758e-04 1.9073075e-03 2.6970021e-02 2.1458133e-03
  1.3642266e-03 9.6663874e-01]]"
143,jimmyfallon,"Playing a new game with @TomCruise on the show tonight! Plus @KendallJenner, @KylieJenner and music from @ChrissieHynde. #FallonTonight",playing new game tomcruise show tonight plus kendalljenner kyliejenner music chrissiehynde fallontonight,"[[0.00628485 0.0074728  0.0076108  0.02267381 0.01128901 0.0029062
  0.94176245]]"
144,ladygaga,"Buy ""Til It Happens To You"" portion of proceeds go to the charities
#KnowYourIX #EndRapeOnCampus &amp;
#CarryThatWeight https://t.co/uPgrU0ppAx",buy til happens poion proceeds go charities knowyourix endrapeoncampus amp carrythatweight httpstcoupgru0ppax,"[[0.00802844 0.0094931  0.00941044 0.02741488 0.01407186 0.00365694
  0.9279244 ]]"
145,TheEllenShow,Just what I’ve always wanted. https://t.co/Bho5pjgOWh,i’ve always wanted httpstcobho5pjgowh,"[[0.0344868  0.04283718 0.09316149 0.62706727 0.13386764 0.05527373
  0.01330583]]"
146,KimKardashian,A COLOR THAT POPS https://t.co/L4qtHhm9Rt https://t.co/tMVsEawVOS,color pops httpstcol4qthhm9 httpstcotmvseawvos,"[[0.00232677 0.00287817 0.00400691 0.01796763 0.00553944 0.0017509
  0.96553016]]"
147,shakira,#shakifans please RT VOTE for @KristenMerlin Call (855) VOICE-09 Text 9 to 8642 (Sprint Only) @iTunesMusic https://t.co/u9n35tbnPy ShakHQ,shakifans please  vote kristenmerlin call 855 voice09 text 9 8642 sprint itunesmusic httpstcou9n35tbnpy shakhq,"[[3.72933388e-01 3.58448237e-01 1.24147885e-01 9.14849923e-04
  1.42932072e-01 6.20908628e-04 2.67967607e-06]]"
148,justinbieber,Life is good,life good,"[[0.00349326 0.00450666 0.01092598 0.11123526 0.01356245 0.00816399
  0.84811234]]"
149,britneyspears,A new take on a classic song by two legends… Absolutely love the #SaySaySay video @PaulMcCartney! http://t.co/15MdAGSa1n,new take classic song two legends… absolutely love saysaysay video paulmccaney httptco15mdagsa1n,"[[0.00486225 0.00620898 0.01459943 0.14392085 0.01820462 0.0111387
  0.8010652 ]]"
150,katyperry,Is that all there is? https://t.co/54Q72MfXND,httpstco54q72mfxnd,"[[5.5516564e-04 8.4120617e-04 1.0493385e-02 9.4872099e-01 1.1168120e-02
  1.7044485e-02 1.1176682e-02]]"
151,TheEllenShow,What do you call an exact replica of George Clooney? George Cloney. Tweet me your favorite #CelebrityPun for this week’s hashtag contest!,call exact replica george clooney george cloney tweet favorite celebritypun week’s hashtag contest,"[[3.1507036e-04 4.5873391e-04 3.0200596e-03 1.0237897e-01 2.9385984e-03
  3.4705950e-03 8.8741803e-01]]"
152,jimmyfallon,"Tonight on the show: @SteveMartinToGo, @ediebrickell, Martin Freeman, and performance from the cast of @BrightStarBway! #FallonTonight",tonight show stevemaintogo ediebrickell main freeman performance cast brightstarbway fallontonight,"[[0.18806906 0.2063161  0.1500355  0.15709257 0.25374976 0.03964639
  0.00509062]]"
153,jtimberlake,The 20/20 Experience begins at @thepalladium on Feb 10th. Tix on sale tomorrow at noon PST. #JT2013 http://t.co/8uixOFbX,2020 experience begins thepalladium feb 10th tix sale tomorrow noon pst jt2013 httptco8uixofbx,"[[0.14953077 0.16698635 0.14820375 0.23500334 0.23896146 0.05217064
  0.00914371]]"
154,Cristiano,"Hey guys, I followed back the most creative fans on Sportlobster. Were you one of them? http://t.co/WbNVqEnPuC http://t.co/wRypxpDcC6",hey guys followed back creative fans spolobster one httptcowbnvqenpuc httptcowrypxpdcc6,"[[0.01654947 0.02045288 0.04083532 0.34629318 0.0537538  0.03419717
  0.4879181 ]]"
155,katyperry,Yo @ActuallyNPH will you teach me some of your mic moves. Imma tryin to use those on my world tour bro #🎤,yo actuallynph teach mic moves imma tryin use world tour bro 🎤,"[[0.2682349  0.27675256 0.12603404 0.07105759 0.22246812 0.03061099
  0.00484183]]"
156,cnnbrk,"Iraqi special forces will enter ISIS-controlled Mosul in a ""matter of hours,"" Iraqi official says. https://t.co/0j01CaqNx9",iraqi special forces enter isiscontrolled mosul matter hours iraqi official says httpstco0j01caqnx9,"[[3.0729151e-01 3.1786627e-01 1.1923706e-01 1.4964281e-02 2.3605266e-01
  4.5221266e-03 6.6111104e-05]]"
157,cnnbrk,Trump campaign denies allegations Melania Trump plagiarized a Michelle Obama speech at RNC. https://t.co/T7UX68YiIz https://t.co/mDhkxNyKim,trump campaign denies allegations melania trump plagiarized michelle obama speech rnc httpstcot7ux68yiiz httpstcomdhkxnykim,"[[0.15459844 0.17368397 0.15061116 0.21936843 0.24585016 0.04819848
  0.00768934]]"
158,Cristiano,Honored to be included. I always gave my best & had grand triumphs. I had 6 great yrs- personally & professionally.   - http://say.ly/jTc6nM,honored included always gave best grand triumphs 6 great yrs personally professionally httpsaylyjtc6nm,"[[3.3435768e-01 3.3499837e-01 1.1293899e-01 8.2244519e-03 2.0625038e-01
  3.1882818e-03 4.1930100e-05]]"
159,taylorswift13,Just tried reading a hotel shampoo bottle an arms length away from my face to check if I still need contacts-Turns out I do. Eventful night.,tried reading hotel shampoo bottle arms length away face check still need contactsturns eventful night,"[[0.01267948 0.01597539 0.04271319 0.5528419  0.05283219 0.0469688
  0.2759891 ]]"
160,taylorswift13,"""I want to thank my wife Evie for being so cruel and sexy"" - Stephen Colbert #Emmys 
favorite quote of the night.",want thank wife evie cruel sexy stephen colbe emmys favorite quote night,"[[0.02063862 0.02343301 0.01670343 0.03105387 0.02684456 0.00552158
  0.87580496]]"
161,Cristiano,"“@CelineM1: Gonna stay up all night to get @Cristiano 's attention, I'm so ready for this #celebrate15m”",“celinem1 gonna stay night get cristiano attention im ready celebrate15m”,"[[0.30065483 0.31013077 0.11801012 0.02945698 0.23011662 0.0111519
  0.00047875]]"
162,selenagomez,I guess I need to buy criminal minds on iTunes @AllisonKaye haha you're awesome!!,guess need buy criminal minds itunes allisonkaye haha youre awesome,"[[0.32527253 0.3268557  0.10605203 0.02576831 0.2012697  0.013784
  0.00099779]]"
163,jimmyfallon,The only way to close that show: @Madonna. https://t.co/3MTDgEXW2c,way close show madonna httpstco3mtdgexw2c,"[[0.04013627 0.04737037 0.07833914 0.52401966 0.10764397 0.071808
  0.1306827 ]]"
